index,name,price,condition,posted_date,url
1,Barbour SL BEDALE ワックスジャケット　22年製　ブラック　40,"27,500",目立った傷や汚れなし,7分前,https://jp.mercari.com/item/m21271106816
2,Barbour 232MWX0018 BEDALE WAX JACKET 38,"44,900",未使用に近い,19分前,https://jp.mercari.com/item/m22815922893
3,BARBOUR バブアー SL BEDALE ビデイル オイルド ジャケット,"29,800",目立った傷や汚れなし,39分前,https://jp.mercari.com/item/m25756596950
4,完売品　早い者勝ち Barbour バブアー TRANSPORT 黒,"45,000",目立った傷や汚れなし,40分前,https://jp.mercari.com/item/m75152090894
5,バブアー　別注　ビデイル　ウール　カシミヤ混　キャメル　ジャケット,"45,000",未使用に近い,27分前,https://jp.mercari.com/item/m35299723886
6,Barbour. BEDALE ピーチスキン,"28,800",未使用に近い,48分前,https://jp.mercari.com/item/m80750911727
7,◆美品◆Barbour◆BEDALE◆オーバーサイズ◆別注品◆23年モデル,"28,000",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m55678480591
8,Barbour Bedale Wax 22AW 44 ブラック 英国製,"34,600",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m38721441735
9,お値下げ致しました！渋品バブアー　BEDALE ジャケット　サイズS(36),"19,000",傷や汚れあり,1時間前,https://jp.mercari.com/item/m27858715418
10,バブアー　トランスポート ビデイル　ジャケット38サイズ,"35,910",新品、未使用,12日前,https://jp.mercari.com/item/m14026102413
11,Barbour バブアー ビデイルSL BEDALE ノンオイルジャケット 36,"33,899",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m68494234186
12,90´S バブアー　ビデイル　Barbour BEDALE　 3ワラント,"6,800",傷や汚れあり,2時間前,https://jp.mercari.com/item/m29178261688
13,【新品未使用】　バブアー　ビデイル　デニム コットン ブルゾンオーバーサイズ,"66,100",新品、未使用,2時間前,https://jp.mercari.com/item/m82547290274
14,A&F 別注 Barbour BEDALEバブアー ビデイル36,"32,000",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m41680381665
15,90′s barbour バブアー Bedale ビデイルジャケット,"9,000",傷や汚れあり,2か月前,https://jp.mercari.com/item/m77653996840
16,【即発送】バブアー　BEDALE WILLIAM BLISS,"54,500",目立った傷や汚れなし,3時間前,https://jp.mercari.com/item/m93534637143
17,【vintage】barbour バブアー BEDALE ビデイル 44,"15,500",やや傷や汚れあり,3時間前,https://jp.mercari.com/item/m78962226443
18,ENGLAND製 80s Barbour SOLWAY ZIPPER 珍 希少.,"142,000",やや傷や汚れあり,3時間前,https://jp.mercari.com/item/m39604041117
19,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/9x4CS2bjczRvxyjXJNJCzS
20,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/pj9ikkDeGFJEoixGw3jRfJ
21,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/oHDjWKBgLmPTxYKxXwStx6
22,Barbour BEAMS PLUS別注 BEDALE Classic Fit,"36,600",新品、未使用,3時間前,https://jp.mercari.com/item/m88406230462
23,Barbour SL BEDALE wool size 34,"23,000",目立った傷や汚れなし,3時間前,https://jp.mercari.com/item/m98363331338
24,BARBOUR SOUTH FIELDS BEDALE,"7,200",目立った傷や汚れなし,4時間前,https://jp.mercari.com/item/m99169259105
25,★極美品 Barbour 秋冬春 デニム風 BEAMS別注ハンティングジャケット,"25,500",未使用に近い,4時間前,https://jp.mercari.com/item/m26383282252
26,Barbour/UNITED ARROWS別注 OVERSIZE BEDALE,"19,500",やや傷や汚れあり,4時間前,https://jp.mercari.com/item/m57301690137
27,Barbour BEAMS PLUS別注　BEDALE,"39,000",目立った傷や汚れなし,5時間前,https://jp.mercari.com/item/m97898602386
28,美品Barbour BEDALE C32 インナーベスト付き オイルドジャケット,"28,300",目立った傷や汚れなし,5時間前,https://jp.mercari.com/item/m33073308837
29,Barbour BEDALE クラシックフィット ウォッシュドジャケット,"25,000",やや傷や汚れあり,5時間前,https://jp.mercari.com/item/m54172579518
30,Barbour Bedale SL 40 ジャケット,"37,500",目立った傷や汚れなし,26日前,https://jp.mercari.com/item/m53604955365
31,Barbour バブアー　BEDALE BLACK 40 ビデイル　ブラック,"45,400",新品、未使用,6時間前,https://jp.mercari.com/item/m94431789833
32,Barbour バブアー　BEDALE BLACK 36 ビデイル　ブラック,"44,400",新品、未使用,6時間前,https://jp.mercari.com/item/m81873422916
33,美品 Barbour 別注 ノンオイル SL ビデイル 軽量 ナイロン バブアー,"29,500",目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m72195262196
34,nextTAILORING　BritishMillerain コットンジャケット,"6,800",目立った傷や汚れなし,6時間前,https://jp.mercari.com/item/m16634589350
35,Barbour BEDALE 32,"26,800",目立った傷や汚れなし,6時間前,https://jp.mercari.com/item/m22951715923
36,Barbour BEDALE バブアー ビデイル オイルド ジャケット,"26,900",傷や汚れあり,7時間前,https://jp.mercari.com/item/m59917014845
37,Barbour BEDALE オイルドジャケット ビデイル,"22,000",全体的に状態が悪い,1時間前,https://jp.mercari.com/item/m99990421635
38,【入手困難】BARBOUR BEDALE JACKET オイルドジャケット 黒,"18,200",やや傷や汚れあり,7時間前,https://jp.mercari.com/item/m74358082469
39,【別注】 Barbour(バブアー) WO BURGHLEY,"70,700",未使用に近い,7時間前,https://jp.mercari.com/item/m48403869601
40,barbour bedale 3ワラント 4ポケット C38　バブアー ビデイル,"37,800",やや傷や汚れあり,8時間前,https://jp.mercari.com/item/m26935634290
41,"“BORDER” Barbour オイルドジャケット England製 90""s","22,300",やや傷や汚れあり,8時間前,https://jp.mercari.com/item/m10303897367
42,Barbour ジャケット 　BEDALE　SL 36,"30,000",やや傷や汚れあり,8時間前,https://jp.mercari.com/item/m36659762685
43,Barbour BeDALE JACKET 1702408 ノンオイル　秋　冬,"55,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m43404388728
44,【新品未使用】Barbour(バブアー ) アシュビー ジャケット,"30,500",新品、未使用,8時間前,https://jp.mercari.com/item/m56354267381
45,バブアー BARBOUR BEDALE WITH HOOD DUFFER,"26,300",目立った傷や汚れなし,8時間前,https://jp.mercari.com/item/m61250907105
46,【Barbour】SL フーデッドビデイル サイズ36,"23,000",目立った傷や汚れなし,37分前,https://jp.mercari.com/item/m96380993899
47,Barbour x A BATHING APE バブアー x エイプ,"39,000",新品、未使用,9時間前,https://jp.mercari.com/item/m23142660308
48,Barbour×TOMORROWLAND CLASSIC BEDALE 36,"65,500",未使用に近い,9時間前,https://jp.mercari.com/item/m29475575090
