index,name,price,condition,posted_date,url
1,BALMUDA The Speaker M01A スピーカー バルミューダ,"22,000",やや傷や汚れあり,1時間前,https://jp.mercari.com/item/m57173552006
2,BALMUDA The Speaker M01A-BK Black,"21,200",目立った傷や汚れなし,22時間前,https://jp.mercari.com/item/m80610047262
3,バルミューダ | BALMUDA The Speaker（本体のみ）,"18,500",やや傷や汚れあり,16時間前,https://jp.mercari.com/item/m81176485236
4,BALMUDA ザ・スピーカー Bluetoothスピーカー ブラック,"29,900",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m67415907612
5,BALMUDA The Speaker M01A スピーカー バルミューダ,"22,000",やや傷や汚れあり,1時間前,https://jp.mercari.com/item/m57173552006
6,BALMUDA The Speaker M01A-BK Black,"21,200",目立った傷や汚れなし,22時間前,https://jp.mercari.com/item/m80610047262
7,[新品・未開封]BALMUDA The Speaker M01A-BK ブラック,"32,000",新品、未使用,1日前,https://jp.mercari.com/item/m35316654414
8,バルミューダ | BALMUDA The Speaker（本体のみ）,"18,500",やや傷や汚れあり,16時間前,https://jp.mercari.com/item/m81176485236
9,BALMUDA The Speaker,"35,000",新品、未使用,3日前,https://jp.mercari.com/item/m86394886574
10,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/KbMaRuTcbojKx4ufcmNwXm
11,BALMUDA The Speaker,"26,000",未使用に近い,7日前,https://jp.mercari.com/item/m32131674093
12,BALMUDA THE Speaker,"22,999",目立った傷や汚れなし,22日前,https://jp.mercari.com/item/m45766586823
13,BALMUDA The Speaker M01A-BK Bluetooth,"26,300",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m85529629428
14,BALMUDA The Speaker バルミューダ スピーカー,"39,000",未使用に近い,7時間前,https://jp.mercari.com/item/m19328453776
15,BALMUDA ザ・スピーカー Bluetoothスピーカー ブラック,"29,900",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m67415907612
16,BALMUDA The Speaker M01A-BK スピーカー,"26,000",目立った傷や汚れなし,29日前,https://jp.mercari.com/item/m29482241732
17,バルミューダ　BALMUDA The Speaker,"35,500",新品、未使用,半年以上前,https://jp.mercari.com/item/m57172256278
18,BALMUDA The Speaker,"26,900",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m80781629523
19,バルミューダ　BALMUDA the Speaker,"28,000",目立った傷や汚れなし,9日前,https://jp.mercari.com/item/m97018377722
20,バルミューダ ザ・スピーカー ブラック Bluetoothスピーカー,"33,000",新品、未使用,半年以上前,https://jp.mercari.com/item/m67336119469
21,The Speaker M01A-BK,"31,999",新品、未使用,半年以上前,https://jp.mercari.com/item/m18446347185
22,The Speaker M01A-BK,"31,499",新品、未使用,半年以上前,https://jp.mercari.com/item/m40465048537
23,BALMUDA The Speaker,"29,000",未使用に近い,半年以上前,https://jp.mercari.com/item/m54450038964
24,BALMUDA THE SPEAKER,"33,000",新品、未使用,半年以上前,https://jp.mercari.com/item/m72204456140
25,BALMUDA The Speaker バルミューダ　スピーカー,"32,000",新品、未使用,半年以上前,https://jp.mercari.com/item/m86453735032
