index,name,price,condition,posted_date,url
1,AQUOS sense8 SIMフリー ペールグリーン アクオスセンス8 美品,"39,000",未使用に近い,3分前,https://jp.mercari.com/item/m81124905337
2,シャープ　SH-M26 　AQUOSsense8 　ペールグリーン　SIMフリー,"64,600",新品、未使用,16分前,https://jp.mercari.com/item/m28803935434
3,SHARP AQUOS sense4 plus 8GB/128GB a3035,"11,000",傷や汚れあり,1時間前,https://jp.mercari.com/item/m28465984989
4,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/Pi5TLLc59E9cPyKTrVxQCY
5,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/GcvvNvLoL7s6Q4vojTU46G
6,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/ZoNnftXuMqmRXoiyef865a
7,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/kSfBnTBuFDbmgFheHdSAxB
8,【中古】AQUOS sense5G SHG03ブラック au SIMロック解除済,"9,400",目立った傷や汚れなし,3時間前,https://jp.mercari.com/item/m92520090047
9,✨【新品未使用】⭐️AQUOS sense9【docomo】【SIMフリー】,"62,000",新品、未使用,2時間前,https://jp.mercari.com/item/m28501713282
10,シャープ　SH-M26 　AQUOS sense8 　6.1インチ　SIMフリー,"64,500",新品、未使用,4時間前,https://jp.mercari.com/item/m51817434667
11,AQUOS sense basic 702SH 5台,"14,500",やや傷や汚れあり,5時間前,https://jp.mercari.com/item/m13047187536
12,AQUOS sense basic 702SH 23台,"66,700",やや傷や汚れあり,5時間前,https://jp.mercari.com/item/m64677635446
13,AQUOS sense9 UQ版 6GB 128GB Blue,"60,490",未使用に近い,43分前,https://jp.mercari.com/item/m79147692748
14,【美品】SHARP AQUOS sense4 lite 64GB ライトカッパー,"9,400",目立った傷や汚れなし,7時間前,https://jp.mercari.com/item/m12282692251
15,シャープ　SH-M26 　AQUOSsense8 　ライトカッパー　SIMフリー,"64,500",新品、未使用,11時間前,https://jp.mercari.com/item/m27148199475
16,AQUOS sense 4 basic 浮き,"4,700",目立った傷や汚れなし,11時間前,https://jp.mercari.com/item/m50600664305
17,AQUOS sense lite SH-M05 ホワイト SIMフリー ②,"4,150",傷や汚れあり,14時間前,https://jp.mercari.com/item/m92675314200
18,AQUOS sense lite SH-M05 ホワイト SIMフリー ①,"4,550",やや傷や汚れあり,14時間前,https://jp.mercari.com/item/m33149207934
19,【新品未使用】AQUOS sense8 SH-M26 ペールグリーン,"51,200",新品、未使用,16時間前,https://jp.mercari.com/item/m64889489725
20,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/efXpmJQrN5yJvmB7AYDBEb
21,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/McFgtUeUJv7oMumEWBubxT
22,ＡＱＵＯＳsense8ＳＨ-Ｍ26,"45,000",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m30584804411
23,AQUOS sense5G オリーブシルバー 64 GB SIMロック解除済み,"8,380",やや傷や汚れあり,1日前,https://jp.mercari.com/item/m95439426783
24,SIMフリー AQUOS sense basic 702SH ホワイト,"2,980",傷や汚れあり,1日前,https://jp.mercari.com/item/m84784742861
25,AQUOS sense4 lite ■ 4GB/64GB / ※Dual SIM,"11,570",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m53937372817
26,AQUOS sense5G A004SH ソフトバンク ライトカッパーおまけ付き,"9,800",やや傷や汚れあり,4日前,https://jp.mercari.com/item/m57327722433
27,AQUOS sense5Gシルバー 64 GB SIMロック解除済み,"9,980",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m89943116322
28,AQUOS sense5G ライトカッパー 64 GB SIMロック解除済み,"9,980",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m51747436811
29,AQUOS sense5G ◆ 4GB/64GB / SH-53A,"12,620",目立った傷や汚れなし,9日前,https://jp.mercari.com/item/m86671124606
30,AQUOS sense6 ■ 4GB/64GB / SH-54B ブラック,"16,830",目立った傷や汚れなし,28日前,https://jp.mercari.com/item/m45392661687
31,AQUOS sense4 ■ 4GB/64GB / SH-41A ※訳アリ,"9,470",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m42918486137
32,★限界な価格　美品　AQUOS sense SHV40 SIMフリー　付属品減,"5,200",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m60654005521
33,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/vjDsTUqq4tH4iAnhqn9hz7
34,AQUOS sense3 basic ブラック 32 GB SIMロック解除済み,"5,980",やや傷や汚れあり,2日前,https://jp.mercari.com/item/m75101315435
35,AQUOS sense3 basic シルバー 32 GB SIMロック解除済み,"5,980",目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m80812534037
36,AQUOS sense basic 702SH,"2,900",やや傷や汚れあり,5時間前,https://jp.mercari.com/item/m82200821514
37,【SIMフリー】AQUOS sense 8 SH-M26　美品　フィルム　ケース,"43,999",目立った傷や汚れなし,6時間前,https://jp.mercari.com/item/m52685243156
