index,name,price,condition,posted_date,url
1,Barbour BEDALE バブアー ビデイル,"55,000",未使用に近い,46分前,https://jp.mercari.com/item/m41490594542
2,Barbour バブアー BEDALE ワックス レギュラーフィット 36,"49,000",新品、未使用,9分前,https://jp.mercari.com/item/m50230047424
3,バブアー　barbour ビデイル　SL bedale,"26,000",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m53064135402
4,美品　Barbour バブアー　Bedale ビデイル ジャケット ブルゾン　紺,"31,380",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m76684385820
5,Barbour bedale ビデイル,"23,000",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m83673613551
6,Barbour SL BEDALE 38　英国製　バブアー　３ワラントビデイル,"20,000",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m22016236108
7,Barbour ビデイル 40 ネイビー インナーファーベスト セット,"46,500",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m15643714137
8,Barbour Bedale バブアー ビデイル ライナー付き 36,"33,000",目立った傷や汚れなし,3時間前,https://jp.mercari.com/item/m64455401153
9,美品 Barbour 別注 ノンオイル SL ビデイル 軽量 ナイロン バブアー,"29,400",目立った傷や汚れなし,10日前,https://jp.mercari.com/item/m72195262196
10,Barbour バブアー ビデイル BEDALE ワックスコットン ジャケット,"19,700",傷や汚れあり,4時間前,https://jp.mercari.com/item/m59920728881
11,SPRINGFIELD オイルドジャケット　襟コーズ　チンタブ　BORO雰囲気系,"7,180",やや傷や汚れあり,5時間前,https://jp.mercari.com/item/m98630750786
12,★極美品 Barbour 超高級 ASHBY WAX ジャケット,"33,800",目立った傷や汚れなし,5時間前,https://jp.mercari.com/item/m26392802789
13,90s 英国製 Barbour BEDALE オイルド ワックス ジャケット,"26,990",やや傷や汚れあり,6時間前,https://jp.mercari.com/item/m44503181822
14,【希少1ワラント】〜80s バブアー ビデイル 4ポケット セージ 40,"46,700",傷や汚れあり,7時間前,https://jp.mercari.com/item/m80790073523
15,★極美品 Barbour 人気 ビデイル 超高級 ピーチスキン ジャケット,"25,700",目立った傷や汚れなし,7時間前,https://jp.mercari.com/item/m40684684747
16,【2023×美品】 Babour Bedale コーデュロイ ブルゾン　NAVY,"23,999",未使用に近い,7時間前,https://jp.mercari.com/item/m77560310894
17,Barbour 90s 英国製 ビデイルジャケット 38 ワックスコットン,"45,800",目立った傷や汚れなし,7時間前,https://jp.mercari.com/item/m30633985917
18,【2023×極美品】即完！Barbour 別注 GLR トランスポート×ビデイル,"34,999",未使用に近い,7時間前,https://jp.mercari.com/item/m39199300340
