index,name,price,condition,posted_date,url
147,Barbour ウォッシュド ビデイルジャケット,18000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m75879639286
150,ナノユニバース別注 BEDALE SL タイプライター 40 barbour,19000.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m59491636536
169,✨極美品✨　バブアー　ビデイル　ナイロンジャケット　ホワイトレーベル,19000.0,目立った傷や汚れなし,23時間前,https://jp.mercari.com/item/m81660829400
234,Barbour×EDIFICE HOODED BEDALE マウンテンパーカー,18000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m12115881016
255,Barbourバブアー 90s英国製BEDALEビデイルオイルドジャケットL,19980.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m70701109485
265,Barbour Bedale SL Blitish Wool 36,18000.0,目立った傷や汚れなし,8日前,https://jp.mercari.com/item/m76413063513
272,Barbour BEDALE TECH CLASSIC FIT,18000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m76455278343
290,◆美品◆Barbour◆シェイプメモリー◆シングルコート◆BEAMS別注,19600.0,目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m10777869702
327,Barbour 新品未使用品　ピンバッチ付きASHBY BEDALE,24000.0,新品、未使用,2日前,https://jp.mercari.com/item/m42247548181
343,Barbour BEDALE SL SHAPE MEMORY テックカジュアル,25400.0,新品、未使用,21時間前,https://jp.mercari.com/item/m70442784701
388,【barbour】【超希少】ミリタリージャケット,19900.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m48306923829
420,BARBOUR BEDALE バブアービデイル BEAMS ビームス別注,24500.0,新品、未使用,4日前,https://jp.mercari.com/item/m49747510489
437,Barbour BEDALE ポリエステルナイロンジャケット,19800.0,目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m20458922710
446,90s Barbour BEDALE ビデイル セージグリーン イングランド製,18000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m98921204798
452,BARBOUR BEDALE バブアー ビテイルコットンジャケット36サイズ,19800.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m78123018148
650,"定価42,900円タグ付き Barbour BedaleSL Lサイズ blue",24800.0,新品、未使用,2日前,https://jp.mercari.com/item/m54529463826
685,Barbour　ハイキングワックス　36,19800.0,目立った傷や汚れなし,12日前,https://jp.mercari.com/item/m69105694118
741,90s polo by Ralph Lauren Barbour bedale,18000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m26890328487
759,最終値下【美品】Barbour BEDALE SL ピーチスキン,22222.0,未使用に近い,1日前,https://jp.mercari.com/item/m56119984107
818,バブアー 40 60 ナイロン ビデイル ビューフォート スペイ,18000.0,目立った傷や汚れなし,9日前,https://jp.mercari.com/item/m41870941509
875,『美品』Barbour BEDALE バブアー ビデイルオイルドジャケット,18680.0,未使用に近い,4日前,https://jp.mercari.com/item/m82067336657
989,バブアー ビテイル オイルドジャケット,21500.0,未使用に近い,4日前,https://jp.mercari.com/item/m60856821712
1003,未使用 Barbour BEDALE SL Mサイズ CAMO,22000.0,新品、未使用,3か月前,https://jp.mercari.com/item/m28893052396
