index,name,price,condition,posted_date,url
44,【新品未使用】Barbour(バブアー ) アシュビー ジャケット,30500.0,新品、未使用,8時間前,https://jp.mercari.com/item/m56354267381
50,【Barbour 】バブアー Hooded Bedale サイズL（40）,22000.0,目立った傷や汚れなし,9時間前,https://jp.mercari.com/item/m42289295035
73,Barbour SL BEDALE バブアー ビデイル SL 36セージ,22000.0,目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m70089999932
103,希少 Burberrys BEDALE type バーバリー オイルドジャケット,22000.0,目立った傷や汚れなし,17時間前,https://jp.mercari.com/item/m73180406619
136,[Barbour×BEAMS F] 別注 BEDALE CLASSIC FIT,30300.0,新品、未使用,21時間前,https://jp.mercari.com/item/m58236329830
179,Babour バブアー ビデイル SL ジャケット 36,21400.0,目立った傷や汚れなし,23時間前,https://jp.mercari.com/item/m12766029167
244,barbour bedale バブアー　ビデイル　グリーン,21900.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m48746032520
278,Barbour / BEDALE SL ウォッシュド ジャケット　34,22300.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m69465766456
295,⭐試着のみ⭐ナノユニバース別注 バブアー ヘンプ混 インターナショナルジャケット,23900.0,未使用に近い,12時間前,https://jp.mercari.com/item/m28524429898
325,Barbour/バブアー フーデッドビデイルジャケット (oil Wax),21980.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m65590581947
417,Barbour Bedale 36　ピーチスキン ビデイル　ノンオイル,21800.0,目立った傷や汚れなし,22日前,https://jp.mercari.com/item/m33386322651
418,BARBOUR（バブアー） ビデイル SL キルトナイロン,25000.0,未使用に近い,19時間前,https://jp.mercari.com/item/m45270336625
571,Barbour バブアー ビデイル　bedale crazy　クレイジー,22000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m60425376216
599,Barbour The Original Bedale Jacket サイズ36,25000.0,未使用に近い,6日前,https://jp.mercari.com/item/m77770229276
747,Barbour バブアー ホワイトレーベル フーデッド ビデイル SL 36,22000.0,目立った傷や汚れなし,19日前,https://jp.mercari.com/item/m11460155613
769,BARBOUR バブアー／SL BEDALE ビデイル SIZE（36）,22000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m94198314387
799,barbour bedale sl camo バブアー ビデイル カモ 迷彩,21500.0,目立った傷や汚れなし,25日前,https://jp.mercari.com/item/m24770059151
999,バブアー SL ロング・ビデイル barbour SL Long Bedale,31500.0,新品、未使用,3か月前,https://jp.mercari.com/item/m49097082340
1008,80s 英国製 ビンテージ britton オイルドジャケット S,22222.0,目立った傷や汚れなし,21日前,https://jp.mercari.com/item/m31516667672
1057,Barbour BEDALE SL 2Layer 紺色ハンティングジャケット,22000.0,目立った傷や汚れなし,18日前,https://jp.mercari.com/item/m93394005469
