index,name,price,condition,posted_date,url,outlier_flag
1,ラクダ様専用　[美品] 　バブアー　スペイ　Bshop別注,25000.0,目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m28953680950,False
2,Barbour BEDALE ビデイル　キルティング,22000.0,目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m33351128580,False
3,Barbour バブアー SL BEDALE ブラウン 38 UK製,15960.0,目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m15168660878,False
4,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/CUfx87G7tz8JMxU6uKvVUG,False
5,Barbour × BEAMS F 別注 CLASSIC BEDALピーチスキン,26999.0,やや傷や汚れあり,1時間前,https://jp.mercari.com/item/m91747245526,False
6,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m20874338397,False
7,sun様　Barbour BEDALE SL 36 英国製,22000.0,やや傷や汚れあり,20時間前,https://jp.mercari.com/item/m55315056888,False
8,【美品】　BARBOUR BEDALE セージ　36,24000.0,目立った傷や汚れなし,18時間前,https://jp.mercari.com/item/m75273534059,False
9,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m22065778588,False
10,バブアー ビデイル Barbour Bedale Wax Jacket 黒 38,35000.0,新品、未使用,1日前,https://jp.mercari.com/item/m65629790784,False
11,Barbour × BEAMS F / 別注BEDALE-F オイルドジャケット,30000.0,目立った傷や汚れなし,7時間前,https://jp.mercari.com/item/m60521609802,False
12,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m79274751578,False
13,Barbour x BEAMS PLUS/別注 BEDALE バブアー,22780.0,目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m60718814602,False
14,APTEMIS様専用バブアー　BEDALE ビデイル 黒40ピーチスキン,32000.0,新品、未使用,1日前,https://jp.mercari.com/item/m43599100685,False
15,大幅値下げ中　Barbour バブアー ダウン フィールド ビデール ジャケット,25000.0,目立った傷や汚れなし,15時間前,https://jp.mercari.com/item/m67387082289,False
16,Barbour bedale 90s,19700.0,やや傷や汚れあり,1日前,https://jp.mercari.com/item/m96395785665,False
17,Noah x Barbour Camo Bedale Jacket,64444.0,新品、未使用,17時間前,https://jp.mercari.com/item/m44506263848,True
18,Barbour Bedale 38 made in UK,22500.0,未使用に近い,1日前,https://jp.mercari.com/item/m30837540086,False
19,英国製BARBOUR BEDALE SL 38 バブアー ビデイル,15000.0,やや傷や汚れあり,18時間前,https://jp.mercari.com/item/m57976100374,False
20,Barbour BEAMS BEDALE 2Layer Classic Fit,45500.0,新品、未使用,1日前,https://jp.mercari.com/item/m94413695518,False
