index,name,price,condition,posted_date,url,outlier_flag
1,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/WJUvAjSEQKXyMZUxtRSJWn,False
2,軽量　美品　キヤノン　EOS M2 ボディ＋CANON EF-M18-55mm,44500.0,目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m39059872923,False
3,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/SCxoLJZExQ4WG7EKrXverR,False
4,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/nLeSNi4865UeZ2DMJ8SVre,False
5,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/wY4yWB7Yx7xnJUUanAmde7,False
6,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/GmZTZpjSVcYDDwBXP5K8RY,False
7,Canon キヤノン EF-S 18-55mm f3.5-5.6 II USM,4250.0,目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m50017269047,False
8,Canon EOS M2 レンズキット　訳あり,24000.0,やや傷や汚れあり,15時間前,https://jp.mercari.com/item/m65686089334,False
9,❤️Wi-Fi内蔵★７台セットー２台★キャノン一眼レフ★ニコン★今はバッテリー付,88088.0,全体的に状態が悪い,16時間前,https://jp.mercari.com/item/m89547468384,False
10,【ほぼ新品】 CANON EF-M 55-200mm IS STM ミラーレス,36780.0,未使用に近い,16時間前,https://jp.mercari.com/item/m65748322101,False
11,■ 美品 キャノン Canon EOS M3 EF-M 18-55 EVFキット,56300.0,目立った傷や汚れなし,17時間前,https://jp.mercari.com/item/m37045164062,False
12,Canon キヤノン EF-S 18-55mm F3.5-5.6 II USM,3380.0,やや傷や汚れあり,17時間前,https://jp.mercari.com/item/m87905340261,False
13,キヤノンデジタル一眼レフカメラEOSKissX3 レンズ・キャリングバック付,63800.0,未使用に近い,20時間前,https://jp.mercari.com/item/m33403559988,False
14,Canon EF-M18-55mm IMAGE STABILIZER 標準レンズ,8900.0,目立った傷や汚れなし,20時間前,https://jp.mercari.com/item/m36827837356,False
15,【美品】キャノン Canon EOS M2 ミラーレス一眼EF-M 18-55,37699.0,目立った傷や汚れなし,21時間前,https://jp.mercari.com/item/m40615765142,False
16,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/wpu9wtbZxqJwJCpxRyevfh,False
17,CANON ZOOMLENS EF-S 18-55㎜ 4-5.6 IS STM,9980.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m83254730017,False
18,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/9AkU8jtzpyDKz8Zd5bizyX,False
19,【超美品】Canon EF40mm f2.8 STM,12000.0,未使用に近い,3時間前,https://jp.mercari.com/item/m62825835476,False
20,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/rhns47uMtq2TT3fakpYk4Q,False
21,Canon EF-M 18-55mm レンズ,5500.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m89719325356,False
22,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/HYXMw9wiC6r7ijkk6ZrtgU,False
23,【ほぼ新品 CANON EF-M 55-200mm IS STM グラファイト,35680.0,未使用に近い,3時間前,https://jp.mercari.com/item/m28372055275,False
