index,name,price,condition,posted_date,url,outlier_flag
1,BALMUDA バルミューダ　The Speaker M01A-BK スピーカー,23000.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m73998631073,False
2,【美品】バルミューダThe Speaker黒,22000.0,未使用に近い,7日前,https://jp.mercari.com/item/m89748497664,False
3,[新品未開封] BALMUDA The Speaker M01A-BK,26000.0,新品、未使用,5日前,https://jp.mercari.com/item/m22616868888,False
4,BALMUDA The Speaker M01A-BK Black,21000.0,目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m76283058910,False
5,新品未開封 BALMUDA The Speaker M01A-BK,29000.0,新品、未使用,2日前,https://jp.mercari.com/item/m47757151130,False
6,BALMUDA The Speaker MO1A-BK,20000.0,目立った傷や汚れなし,14日前,https://jp.mercari.com/item/m66758451431,False
7,BALMUDA The Speaker スピーカー　黒,30000.0,新品、未使用,1日前,https://jp.mercari.com/item/m81439959397,False
8,BALMUDA The Speaker M01A-BK,21000.0,未使用に近い,15日前,https://jp.mercari.com/item/m66476889095,False
9,バルミューダ | BALMUDA The Speaker（本体のみ）,17600.0,やや傷や汚れあり,21日前,https://jp.mercari.com/item/m19818666325,False
10,【美品】BALMUDA バルミューダ ザ スピーカーM01A-BK,24480.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m15488169481,False
11,バルミューダ BALMUDA The Speaker M01A-BK,27500.0,新品、未使用,1か月前,https://jp.mercari.com/item/m34505569161,False
12,バルミューダ ザ・スピーカー ブラック M01A-BK,19000.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m69261478800,False
13,【美品】BALMUDA バルミューダ ザ スピーカーM01A-BK,21000.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m95021394393,False
14,バルミューダ | BALMUDA The Speaker,26000.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m95733015017,True
15,alice さん専用,22000.0,未使用に近い,1か月前,https://jp.mercari.com/item/m32811320246,False
16,BALMUDA The Speaker M01A-BK Black 後部が破損,13000.0,傷や汚れあり,15日前,https://jp.mercari.com/item/m84695079807,False
17,【J様専用】BALMUDA The Speaker M01A-BK,22000.0,未使用に近い,1か月前,https://jp.mercari.com/item/m61893792746,False
18,BALMUDA The Speaker ブラック バルミューダ スピーカー,17800.0,やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m78395616738,False
19,BALMUDA The Speaker ブラック　バルミューダ　スピーカー,19500.0,やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m23113607591,False
20,【極美品】BALMUDA バルミューダ ザ スピーカーM01A-BK 真空管,21300.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m15662565181,False
21,BALMUDA The Speaker ブラック　バルミューダ　スピーカー,20500.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m11355492544,False
22,BALMUDA The Speaker M01A ワイヤレススピーカー 美品,23000.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m64784059074,False
23,BALMUDA The Speaker (bluetooth) バルミューダ,18000.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m78548859122,False
24,BALMUDA The Speakerバルミューダ　ワイヤレススピーカー,21800.0,未使用に近い,2か月前,https://jp.mercari.com/item/m61118656113,False
25,BALMUDA The Speaker Black M01A-BK スピーカー,24650.0,新品、未使用,2か月前,https://jp.mercari.com/item/m45027350122,False
26,【美品】BALMUDA The Speaker M01A ワイヤレススピーカー,22900.0,未使用に近い,2か月前,https://jp.mercari.com/item/m61657032534,False
27,バルミューダ ワイヤレススピーカー ザ スピーカー M01A-WHホワイト,27200.0,未使用に近い,2か月前,https://jp.mercari.com/item/m81060449603,True
28,BALMUDA The Speaker　M01A-BK　スピーカー　ブラック,20800.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m61005513118,False
29,BALMUDA バルミューダ　スピーカー　M01A-BK Bluetooth,20000.0,未使用に近い,2か月前,https://jp.mercari.com/item/m94425384107,False
30,BALMUDA The Speaker M01A-BK,16000.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m14241620007,False
31,バルミューダ ワイヤレススピーカー,18500.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m52738940515,False
32,【美品】BALMUDA The Speaker バッテリー内蔵,19800.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m47669719486,False
33,BALMUDA The Speaker M01A ワイヤレススピーカー 美品,22500.0,未使用に近い,2か月前,https://jp.mercari.com/item/m67207147088,False
34,【新品未開封】BALMUDA The Speaker バルミューダ　スピーカー,29000.0,新品、未使用,2か月前,https://jp.mercari.com/item/m47382763011,False
35,美品　バルミューダ　スピーカー　ブラック　BALMUDA The Speaker,21000.0,未使用に近い,2か月前,https://jp.mercari.com/item/m85547636416,False
36,BALMUDA The Speaker,19000.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m38174720635,False
37,BALMUDA The Speaker/バルミューダ ザ スピーカー,27000.0,新品、未使用,2か月前,https://jp.mercari.com/item/m39160191396,False
38,【美品】BALMUDA The Speaker M01Aシリーズ,23000.0,未使用に近い,2か月前,https://jp.mercari.com/item/m88033125437,False
39,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/CrmGgx4YvmbhHLbXkWrjPV,False
40,BALMUDA The Speaker　M01A-BK　スピーカー　ブラック,19000.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m49985504952,False
41,BALMUDA The Speaker　M01A-BK　スピーカー　ブラック,17500.0,未使用に近い,3か月前,https://jp.mercari.com/item/m66388100204,True
42,BALMUDA The Speaker M01Aシリーズ,23800.0,新品、未使用,1か月前,https://jp.mercari.com/item/m39884720684,False
43,バルミューダザ・スピーカー,27000.0,新品、未使用,3か月前,https://jp.mercari.com/item/m58137008786,False
44,BALMUDA The Speaker,16000.0,やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m43450495197,False
45,BALMUDA The Speaker充電式　Bluetooth,18000.0,やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m16602544378,False
46,【新品未開封】BALMUDA The Speaker,27000.0,新品、未使用,3か月前,https://jp.mercari.com/item/m56236505843,False
47,BALMUDA スピーカー ワイヤレススピーカー M01A バルミューダ 新品,23000.0,新品、未使用,3か月前,https://jp.mercari.com/item/m78874820436,False
48,バルミューダ BALMUDA The Speaker ブラック,18810.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m21029983681,False
49,52◇BALMUDA The Speaker MT0802-3,20000.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m19917400266,False
50,【最終価格】BALMUDA M01A-BK/バルミューダ　スピーカー,17900.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m88626402769,False
51,BALMUDA The Speaker ブラック 美品,22000.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m71449670828,False
52,【新品】BALMUDA　The　Speaker　Black　ワイヤレススピーカー,30000.0,新品、未使用,2か月前,https://jp.mercari.com/item/m24321881676,False
53,BALMUDA The Speaker 【即購入可】【美品】,30000.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m98100340516,True
54,BALMUDA ザ・スピーカー ブラック Bluetoothスピーカー,26950.0,新品、未使用,3か月前,https://jp.mercari.com/item/m71205570579,False
55,BALMUDA バルミューダ The Speaker スピーカー M01A-BK,19900.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m88812899564,False
56,【こうあさん専用】バルミューダ　the speaker,22000.0,未使用に近い,3か月前,https://jp.mercari.com/item/m54062936789,False
57,BALMUDA The Speaker M01A-BK,20000.0,新品、未使用,3か月前,https://jp.mercari.com/item/m18523230602,True
58,未使用　BALMUDA バルミューダ　スピーカー　the speaker,23000.0,未使用に近い,3か月前,https://jp.mercari.com/item/m42012738441,False
59,バルミューダ ザ スピーカー BLACK,22222.0,新品、未使用,3か月前,https://jp.mercari.com/item/m59736329138,False
60,新品未開封✨BALMUDA　The　Speaker　Blackワイヤレススピーカ,26950.0,新品、未使用,3か月前,https://jp.mercari.com/item/m44177062308,False
61,BALMUDA The Speaker,18500.0,未使用に近い,3か月前,https://jp.mercari.com/item/m95958719632,False
62,BALMUDA The Speaker,20650.0,目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m22176934382,False
63,【極美品】バルミューダ ザ スピーカー　BALMUDA The Speaker,22000.0,未使用に近い,4か月前,https://jp.mercari.com/item/m88108032165,False
64,バルミューダ ザ・スピーカー ブラック,19999.0,目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m83133057178,False
65,BALMUDA バルミューダ The Speaker M01A-BK スピーカー,18900.0,目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m14837433243,False
66,【ほぼ未使用品】BALMUDA 高音質ワイヤレススピーカー M01A-BK,23000.0,未使用に近い,4か月前,https://jp.mercari.com/item/m49869002391,False
67,【新品】BALMUDA The Speaker バルミューダ スピーカー (黒),27900.0,新品、未使用,4か月前,https://jp.mercari.com/item/m29817098465,False
68,BALMUDA The Speaker M01A-BK お値下げしました！,28000.0,新品、未使用,4か月前,https://jp.mercari.com/item/m83927611139,False
69,【美品】BALMUDA The Speaker ブラック,17000.0,目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m29001495944,False
70,BALMUDA バルミューダ ワイヤレススピーカー M01A-BK ブラック,25800.0,新品、未使用,4か月前,https://jp.mercari.com/item/m62440564438,False
71,【新品未開封】BALMUDA The Speaker,28310.0,新品、未使用,4か月前,https://jp.mercari.com/item/m51345940007,False
72,kitti様専用 BALMUDA The Speaker,19000.0,未使用に近い,4か月前,https://jp.mercari.com/item/m58513814739,False
73,美品BALMUDA The Speaker バルミューダ ザスピーカー 黒色,21550.0,目立った傷や汚れなし,5か月前,https://jp.mercari.com/item/m40979235691,False
74,BALMUDA THE Speaker M01Aシリーズ　バルミューダスピーカー,23000.0,未使用に近い,5か月前,https://jp.mercari.com/item/m97874044799,False
75,こっとんうさぎさん専用BALMUDA The Speaker,23000.0,未使用に近い,5か月前,https://jp.mercari.com/item/m11235535654,False
76,BALMUDA The Speaker M01A-BK,18770.0,目立った傷や汚れなし,5か月前,https://jp.mercari.com/item/m90259862183,False
77,BALMUDA The Speaker ワイヤレススピーカー M01A-BK,25000.0,未使用に近い,5か月前,https://jp.mercari.com/item/m94433831114,False
78,新品保証付　バルミューダ ザ・スピーカー ブラック Bluetoothスピーカー,28480.0,新品、未使用,5か月前,https://jp.mercari.com/item/m22350048612,False
