index,name,price,condition,posted_date,url,outlier_flag
1,【ジャーナルスタンダード別注】バブアー ビデイル フード付 ワックスジャケット,19500.0,目立った傷や汚れなし,6時間前,https://jp.mercari.com/item/m35026289690,False
2,【美品】Barbour BEDALE SL 38 バブアー ビデイル,27000.0,目立った傷や汚れなし,16時間前,https://jp.mercari.com/item/m25721875657,False
3,バブアー Barbour ビデイル　オイルジャケット,27000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m10569091316,False
4,Barbour バブアー　ビデイル　ワックス　ブルゾン,22999.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m29113211991,False
5,Barbour バブアー　BEDALE BLACK 36 ビデイル　ブラック,45000.0,新品、未使用,21時間前,https://jp.mercari.com/item/m18239205533,False
6,バブアー　FLEECELINED BEDALE 38 　UR 別注　ポーラテック,33333.0,目立った傷や汚れなし,19時間前,https://jp.mercari.com/item/m59601297847,False
7,バブアー　ビデイル　オイルドジャケット　グリーン　38,36000.0,未使用に近い,16時間前,https://jp.mercari.com/item/m19020129386,False
8,バブアー　ビデイル　Barbour bedale 保存用カバー付き,30000.0,目立った傷や汚れなし,18時間前,https://jp.mercari.com/item/m33483202627,False
9,Barbour ビデイルSL ノンオイル 40,32000.0,新品、未使用,1日前,https://jp.mercari.com/item/m97113235482,False
10,Barbour バブアー　BEDALE BLACK 38 ビデイル　ブラック,37200.0,未使用に近い,1日前,https://jp.mercari.com/item/m89866972856,False
11,Barbour BEDALE ビデイル,12000.0,傷や汚れあり,19時間前,https://jp.mercari.com/item/m93425405817,False
12,Barbour バブアー ビデイルSL ノンオイル 38,18500.0,未使用に近い,1日前,https://jp.mercari.com/item/m70986444367,False
13,Barbour（バブアー） 【BEDALE / ビデイル】ワックス ブルゾン,23900.0,目立った傷や汚れなし,16時間前,https://jp.mercari.com/item/m11622213557,False
14,Barbour×BEAMS PLUS別注/BEDALE TECH CLASSIC,26700.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m24228052807,False
15,BARBOUR バブアー BEDALE SL ビデイル日本正規品 MWX0318,10800.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m68497530265,False
16,美品　Barbour BEDALE SL 2LAYER　ビデイル　ノンオイル,28900.0,目立った傷や汚れなし,18時間前,https://jp.mercari.com/item/m17853660520,False
17,Barbour Bedale SL 38 バブアー ビデイル 送料込み⭐︎,22800.0,やや傷や汚れあり,2日前,https://jp.mercari.com/item/m52542413413,False
18,【2023×美品】 Barbour Bedale ジャーナルスタンダード,29999.0,未使用に近い,1日前,https://jp.mercari.com/item/m32743093531,False
19,別注green label relaxingトランスポート ビデイル,27000.0,未使用に近い,1日前,https://jp.mercari.com/item/m27574681381,False
20,Barbour バブアー bedale original ビデイル C36,28800.0,未使用に近い,17時間前,https://jp.mercari.com/item/m12681293322,False
21,バブアー ビデイル OS ピーチスキン36 ネイビーBarbour BEDALE,32900.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m41988951551,False
22,Babour バブアー ビデイル SL ジャケット 36,19000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m12766029167,False
23,バブアー　ビデイルジャケット　サイズ40,29999.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m97305269971,False
24,Barbour SL BEDALE バブアー ビデイル 36,27900.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m55873310559,False
25,Barbour バブアー ビデイル セイジ 38,39000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m31212611162,False
26,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m52323239333,False
27,【Barbour】JBS FLIGHT JACKET size:M,35000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m62315157969,False
28,Barbour BEDALE sl オイルドジャケット 36 ブラック,28000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m32086091402,False
29,タグあり　Barbour バブアー BEDALE ビデイル　オイルドジャケット,27000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m58869141431,False
30,Barbour ビデイル　SL38 bedale sl,22222.0,やや傷や汚れあり,4時間前,https://jp.mercari.com/item/m87237799110,False
31,Barbour BORDER 38 バブアー ボーダー オイル ビンテージ,11500.0,やや傷や汚れあり,2日前,https://jp.mercari.com/item/m96987956485,False
32,【極美品】Barbour BEDALE ビデイル バブアー L,25200.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m67005416318,False
33,【美品】Barbour　BEDALE SL ウォッシュドジャケット,23500.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m94275572911,False
