index,name,price,condition,posted_date,url,outlier_flag
1,ARC'TERYX アトムフーディS Black Sapphire,29000.0,目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m19131572000,False
2,【正規品】アークテリクス アトムLTフーディ　黒　XL,36800.0,目立った傷や汚れなし,15時間前,https://jp.mercari.com/item/m75025888498,False
3,最新アークテリクス　アトムLTフーディ,56260.0,目立った傷や汚れなし,16時間前,https://jp.mercari.com/item/m36444606759,True
4,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m10386878795,False
5,✨新品✨アークテリクス アトム ジャケット 2024AW Lサイズ ベージュ,39100.0,新品、未使用,23時間前,https://jp.mercari.com/item/m38471770884,False
6,ひろ【即購入OKです】 様専用,36500.0,新品、未使用,1日前,https://jp.mercari.com/item/m79547148639,False
7,アークテリクス　ATOM　LT　フーディ,28500.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m60419899027,False
8,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/fF6YH2yk4JvGfXZQzh8eGB,False
9,黒S ARC'TERYX atom hoody アトム フーディー　AR LT,46666.0,新品、未使用,2日前,https://jp.mercari.com/item/m89091395656,False
10,アークテリクス アトムフーディARC'TERYX Atom アトムlt サイズM,37000.0,新品、未使用,3日前,https://jp.mercari.com/item/m22405455339,False
11,Arc’teryx Atom LT Hoody Sサイズ　黒 2022年モデル,29500.0,未使用に近い,6時間前,https://jp.mercari.com/item/m93160889322,False
12,アークテリクス　アトムフーディ Atom LT Hoody Lサイズ,44000.0,新品、未使用,1日前,https://jp.mercari.com/item/m95751219950,False
13,ARC'TERYX atom LT hoody アークテリクス Sサイズ,15300.0,やや傷や汚れあり,4日前,https://jp.mercari.com/item/m79068206728,False
14,美品！アークテリクス・アトムLT刺繍ロゴモデルフーディーM,30000.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m45357124784,False
15,アークテリクス アトムLTフーディ　黒　XL,36500.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m97389675370,False
16,☆国内正規品☆ARC'TERYX ATOM HOODYアトムフーディ　XXL,38999.0,新品、未使用,1日前,https://jp.mercari.com/item/m93730611357,False
17,アークテリクス　アトムLTフーディ　ブラック　Lサイズ　2022年モデル,35500.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m68536408337,False
18,未使用　アトム　ltフーディ　ブラック　sサイズ,40000.0,新品、未使用,3日前,https://jp.mercari.com/item/m93240606057,False
19,【11/16】フルシーズン　軽い　暖かい　動きやすい　アークテリクス,17000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m57424706395,False
20,専用　アークテリクス アトム LT フーディ　void,35500.0,未使用に近い,5日前,https://jp.mercari.com/item/m78333918460,False
21,Arc’teryx アトムLT フーディー XS,27000.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m65118445589,False
22,アークテリクス アトムLTフーディー 新品 XL,41980.0,新品、未使用,10日前,https://jp.mercari.com/item/m17750691381,False
