index,name,price,condition,posted_date,url,outlier_flag
1,アークテリクスBeta LT hybrid Jacket ベータジャケット,55000.0,やや傷や汚れあり,8時間前,https://jp.mercari.com/item/m45150078128,False
2,【新品未使用】アークテリクスAlpha SV Jacket Mens Orca,121000.0,新品、未使用,3時間前,https://jp.mercari.com/item/m16769108494,True
3,アークテリクス　ベータLTハイブリッド　メンズS 黒 ゴアテックス　シェル,48000.0,やや傷や汚れあり,6時間前,https://jp.mercari.com/item/m82043384870,True
4,ARC'TERYX Beta LT Jacket,37777.0,新品、未使用,17時間前,https://jp.mercari.com/item/m55873296066,True
5,ARC'TERYX アークテリクス BETA LT Lサイズ ブラック L,42000.0,新品、未使用,3日前,https://jp.mercari.com/item/m67336864514,True
6,希少完売ARC’TERYXベータ LT ジャケット BETA LT JACKET,85700.0,新品、未使用,1日前,https://jp.mercari.com/item/m36106918709,False
7,アークテリクス ARC’TERYX Beta Jacket 2022 美品,65000.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m50789234473,False
8,ARC’TERYXベータ LT ジャケット BETA LT JACKET,63000.0,新品、未使用,3日前,https://jp.mercari.com/item/m49927553426,False
9,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m74781148426,False
10,アークテリクス　beta sl hybrid jacket 黒　XXL,39000.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m95246276968,True
11,ARC’TERYX Beta LT Jacket Men’s,66000.0,未使用に近い,13時間前,https://jp.mercari.com/item/m56124359748,False
12,Arc'teryx Beta SL Jacket ベータLTジャケット,67500.0,新品、未使用,3日前,https://jp.mercari.com/item/m43208227873,False
13,アークテリクス　ベータLT ジャケット　Mサイズ,59800.0,未使用に近い,5時間前,https://jp.mercari.com/item/m77835111771,False
14,アークテリクス ベータLTジャケット M　ブラックサファイア,58800.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m23245888096,False
15,【新品】ARC'TERYX Beta LT Jacket Mens,75000.0,新品、未使用,4日前,https://jp.mercari.com/item/m28900285426,False
16,ベータLTジャケットSサイズ　ブラックサファイア,66666.0,新品、未使用,3日前,https://jp.mercari.com/item/m92338025601,False
17,Arc'teryx Beta LT Jacket ベータLTジャケット,69000.0,未使用に近い,20時間前,https://jp.mercari.com/item/m91373256701,False
