index,name,price,condition,posted_date,url
1,BALMUDA バルミューダ　The Speaker M01A-BK スピーカー,"23,000",目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m73998631073
2,【美品】バルミューダThe Speaker黒,"22,000",未使用に近い,7日前,https://jp.mercari.com/item/m89748497664
3,[新品未開封] BALMUDA The Speaker M01A-BK,"26,000",新品、未使用,5日前,https://jp.mercari.com/item/m22616868888
4,BALMUDA The Speaker M01A-BK Black,"21,000",目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m76283058910
5,新品未開封 BALMUDA The Speaker M01A-BK,"29,000",新品、未使用,2日前,https://jp.mercari.com/item/m47757151130
6,BALMUDA The Speaker MO1A-BK,"20,000",目立った傷や汚れなし,14日前,https://jp.mercari.com/item/m66758451431
7,BALMUDA The Speaker スピーカー　黒,"30,000",新品、未使用,1日前,https://jp.mercari.com/item/m81439959397
8,BALMUDA The Speaker M01A-BK,"21,000",未使用に近い,15日前,https://jp.mercari.com/item/m66476889095
9,バルミューダ | BALMUDA The Speaker（本体のみ）,"17,600",やや傷や汚れあり,21日前,https://jp.mercari.com/item/m19818666325
10,【美品】BALMUDA バルミューダ ザ スピーカーM01A-BK,"24,480",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m15488169481
11,バルミューダ BALMUDA The Speaker M01A-BK,"27,500",新品、未使用,1か月前,https://jp.mercari.com/item/m34505569161
12,バルミューダ ザ・スピーカー ブラック M01A-BK,"19,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m69261478800
13,【美品】BALMUDA バルミューダ ザ スピーカーM01A-BK,"21,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m95021394393
14,バルミューダ | BALMUDA The Speaker,"26,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m95733015017
15,alice さん専用,"22,000",未使用に近い,1か月前,https://jp.mercari.com/item/m32811320246
16,BALMUDA The Speaker M01A-BK Black 後部が破損,"13,000",傷や汚れあり,15日前,https://jp.mercari.com/item/m84695079807
17,【J様専用】BALMUDA The Speaker M01A-BK,"22,000",未使用に近い,1か月前,https://jp.mercari.com/item/m61893792746
18,BALMUDA The Speaker ブラック バルミューダ スピーカー,"17,800",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m78395616738
19,BALMUDA The Speaker ブラック　バルミューダ　スピーカー,"19,500",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m23113607591
20,【極美品】BALMUDA バルミューダ ザ スピーカーM01A-BK 真空管,"21,300",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m15662565181
21,BALMUDA The Speaker ブラック　バルミューダ　スピーカー,"20,500",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m11355492544
22,BALMUDA The Speaker M01A ワイヤレススピーカー 美品,"23,000",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m64784059074
23,BALMUDA The Speaker (bluetooth) バルミューダ,"18,000",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m78548859122
24,BALMUDA The Speakerバルミューダ　ワイヤレススピーカー,"21,800",未使用に近い,2か月前,https://jp.mercari.com/item/m61118656113
25,BALMUDA The Speaker Black M01A-BK スピーカー,"24,650",新品、未使用,2か月前,https://jp.mercari.com/item/m45027350122
26,【美品】BALMUDA The Speaker M01A ワイヤレススピーカー,"22,900",未使用に近い,2か月前,https://jp.mercari.com/item/m61657032534
27,バルミューダ ワイヤレススピーカー ザ スピーカー M01A-WHホワイト,"27,200",未使用に近い,2か月前,https://jp.mercari.com/item/m81060449603
28,BALMUDA The Speaker　M01A-BK　スピーカー　ブラック,"20,800",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m61005513118
29,BALMUDA バルミューダ　スピーカー　M01A-BK Bluetooth,"20,000",未使用に近い,2か月前,https://jp.mercari.com/item/m94425384107
30,BALMUDA The Speaker M01A-BK,"16,000",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m14241620007
31,バルミューダ ワイヤレススピーカー,"18,500",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m52738940515
32,【美品】BALMUDA The Speaker バッテリー内蔵,"19,800",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m47669719486
33,BALMUDA The Speaker M01A ワイヤレススピーカー 美品,"22,500",未使用に近い,2か月前,https://jp.mercari.com/item/m67207147088
34,【新品未開封】BALMUDA The Speaker バルミューダ　スピーカー,"29,000",新品、未使用,2か月前,https://jp.mercari.com/item/m47382763011
35,美品　バルミューダ　スピーカー　ブラック　BALMUDA The Speaker,"21,000",未使用に近い,2か月前,https://jp.mercari.com/item/m85547636416
36,BALMUDA The Speaker,"19,000",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m38174720635
37,BALMUDA The Speaker/バルミューダ ザ スピーカー,"27,000",新品、未使用,2か月前,https://jp.mercari.com/item/m39160191396
38,【美品】BALMUDA The Speaker M01Aシリーズ,"23,000",未使用に近い,2か月前,https://jp.mercari.com/item/m88033125437
39,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/CrmGgx4YvmbhHLbXkWrjPV
40,BALMUDA The Speaker　M01A-BK　スピーカー　ブラック,"19,000",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m49985504952
41,BALMUDA The Speaker　M01A-BK　スピーカー　ブラック,"17,500",未使用に近い,3か月前,https://jp.mercari.com/item/m66388100204
42,BALMUDA The Speaker M01Aシリーズ,"23,800",新品、未使用,1か月前,https://jp.mercari.com/item/m39884720684
43,バルミューダザ・スピーカー,"27,000",新品、未使用,3か月前,https://jp.mercari.com/item/m58137008786
44,BALMUDA The Speaker,"16,000",やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m43450495197
45,BALMUDA The Speaker充電式　Bluetooth,"18,000",やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m16602544378
46,【新品未開封】BALMUDA The Speaker,"27,000",新品、未使用,3か月前,https://jp.mercari.com/item/m56236505843
47,BALMUDA スピーカー ワイヤレススピーカー M01A バルミューダ 新品,"23,000",新品、未使用,3か月前,https://jp.mercari.com/item/m78874820436
48,バルミューダ BALMUDA The Speaker ブラック,"18,810",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m21029983681
49,52◇BALMUDA The Speaker MT0802-3,"20,000",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m19917400266
50,【最終価格】BALMUDA M01A-BK/バルミューダ　スピーカー,"17,900",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m88626402769
51,BALMUDA The Speaker ブラック 美品,"22,000",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m71449670828
52,【新品】BALMUDA　The　Speaker　Black　ワイヤレススピーカー,"30,000",新品、未使用,2か月前,https://jp.mercari.com/item/m24321881676
53,BALMUDA The Speaker 【即購入可】【美品】,"30,000",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m98100340516
54,BALMUDA ザ・スピーカー ブラック Bluetoothスピーカー,"26,950",新品、未使用,3か月前,https://jp.mercari.com/item/m71205570579
55,BALMUDA バルミューダ The Speaker スピーカー M01A-BK,"19,900",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m88812899564
56,【こうあさん専用】バルミューダ　the speaker,"22,000",未使用に近い,3か月前,https://jp.mercari.com/item/m54062936789
57,BALMUDA The Speaker M01A-BK,"20,000",新品、未使用,3か月前,https://jp.mercari.com/item/m18523230602
58,未使用　BALMUDA バルミューダ　スピーカー　the speaker,"23,000",未使用に近い,3か月前,https://jp.mercari.com/item/m42012738441
59,バルミューダ ザ スピーカー BLACK,"22,222",新品、未使用,3か月前,https://jp.mercari.com/item/m59736329138
60,新品未開封✨BALMUDA　The　Speaker　Blackワイヤレススピーカ,"26,950",新品、未使用,3か月前,https://jp.mercari.com/item/m44177062308
61,BALMUDA The Speaker,"18,500",未使用に近い,3か月前,https://jp.mercari.com/item/m95958719632
62,BALMUDA The Speaker,"20,650",目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m22176934382
63,【極美品】バルミューダ ザ スピーカー　BALMUDA The Speaker,"22,000",未使用に近い,4か月前,https://jp.mercari.com/item/m88108032165
64,バルミューダ ザ・スピーカー ブラック,"19,999",目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m83133057178
65,BALMUDA バルミューダ The Speaker M01A-BK スピーカー,"18,900",目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m14837433243
66,【ほぼ未使用品】BALMUDA 高音質ワイヤレススピーカー M01A-BK,"23,000",未使用に近い,4か月前,https://jp.mercari.com/item/m49869002391
67,【新品】BALMUDA The Speaker バルミューダ スピーカー (黒),"27,900",新品、未使用,4か月前,https://jp.mercari.com/item/m29817098465
68,BALMUDA The Speaker M01A-BK お値下げしました！,"28,000",新品、未使用,4か月前,https://jp.mercari.com/item/m83927611139
69,【美品】BALMUDA The Speaker ブラック,"17,000",目立った傷や汚れなし,4か月前,https://jp.mercari.com/item/m29001495944
70,BALMUDA バルミューダ ワイヤレススピーカー M01A-BK ブラック,"25,800",新品、未使用,4か月前,https://jp.mercari.com/item/m62440564438
71,【新品未開封】BALMUDA The Speaker,"28,310",新品、未使用,4か月前,https://jp.mercari.com/item/m51345940007
72,kitti様専用 BALMUDA The Speaker,"19,000",未使用に近い,4か月前,https://jp.mercari.com/item/m58513814739
73,美品BALMUDA The Speaker バルミューダ ザスピーカー 黒色,"21,550",目立った傷や汚れなし,5か月前,https://jp.mercari.com/item/m40979235691
