index,name,price,condition,posted_date,url
1,【ジャーナルスタンダード別注】バブアー ビデイル フード付 ワックスジャケット,"19,500",目立った傷や汚れなし,6時間前,https://jp.mercari.com/item/m35026289690
2,【美品】Barbour BEDALE SL 38 バブアー ビデイル,"27,000",目立った傷や汚れなし,16時間前,https://jp.mercari.com/item/m25721875657
3,バブアー Barbour ビデイル　オイルジャケット,"27,000",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m10569091316
4,Barbour バブアー　ビデイル　ワックス　ブルゾン,"22,999",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m29113211991
5,Barbour バブアー　BEDALE BLACK 36 ビデイル　ブラック,"45,000",新品、未使用,21時間前,https://jp.mercari.com/item/m18239205533
6,バブアー　FLEECELINED BEDALE 38 　UR 別注　ポーラテック,"33,333",目立った傷や汚れなし,19時間前,https://jp.mercari.com/item/m59601297847
7,バブアー　ビデイル　オイルドジャケット　グリーン　38,"36,000",未使用に近い,16時間前,https://jp.mercari.com/item/m19020129386
8,バブアー　ビデイル　Barbour bedale 保存用カバー付き,"30,000",目立った傷や汚れなし,18時間前,https://jp.mercari.com/item/m33483202627
9,Barbour ビデイルSL ノンオイル 40,"32,000",新品、未使用,1日前,https://jp.mercari.com/item/m97113235482
10,Barbour バブアー　BEDALE BLACK 38 ビデイル　ブラック,"37,200",未使用に近い,1日前,https://jp.mercari.com/item/m89866972856
11,Barbour BEDALE ビデイル,"12,000",傷や汚れあり,19時間前,https://jp.mercari.com/item/m93425405817
12,Barbour バブアー ビデイルSL ノンオイル 38,"18,500",未使用に近い,1日前,https://jp.mercari.com/item/m70986444367
13,Barbour（バブアー） 【BEDALE / ビデイル】ワックス ブルゾン,"23,900",目立った傷や汚れなし,16時間前,https://jp.mercari.com/item/m11622213557
14,Barbour×BEAMS PLUS別注/BEDALE TECH CLASSIC,"26,700",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m24228052807
15,BARBOUR バブアー BEDALE SL ビデイル日本正規品 MWX0318,"10,800",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m68497530265
16,美品　Barbour BEDALE SL 2LAYER　ビデイル　ノンオイル,"28,900",目立った傷や汚れなし,18時間前,https://jp.mercari.com/item/m17853660520
17,Barbour Bedale SL 38 バブアー ビデイル 送料込み⭐︎,"22,800",やや傷や汚れあり,2日前,https://jp.mercari.com/item/m52542413413
