index,name,price,condition,posted_date,url
219,美品 通年《Barbour》OVERDYED SL BEDALE(34)ブルー,20580.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m33062206759
263,期間限定SALE 【新品】バブアー　ロングコート　ブラウン,29800.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m58456026623
285,Barbour バブアー フーデッド ジャケット ビデイル SL 38サイズ M,20300.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m39092473971
321,Barbour バブアー ビデイル SL BEAVER 別注,23400.0,未使用に近い,2か月前,https://jp.mercari.com/item/m15946777981
336,nano・universe別注 ビデイル タイプライター 40 barbour,20000.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m44503947385
348,Barbour バブアー ビデイル　ジャーナルスタンダード別注,20000.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m10199908664
370,SOPH. × Barbour BEDALE コラボ ソフ ビデイル S,20000.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m85437254198
453,Barbour BEDALE ネイビー　ターコイズ　36 オイルドジャケット,20400.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m77962039901
543,Barbour　ビデイル　ターコイズ　4つポケ,20000.0,目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m39286802383
628,Barbour バブアー　BEDALE CASUALビデイル　ジャケット,28900.0,新品、未使用,10日前,https://jp.mercari.com/item/m10978410720
791,【良品】Barbour BEDALEバブアー　ビデイル　4ポケット,20000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m18738957221
838,BARBOUR BEDALE SL COTTON NYLON,29000.0,新品、未使用,1か月前,https://jp.mercari.com/item/m43444268808
910,Barbour × BEAMS PLUS BEDALE ブラックウォッチ S,29800.0,新品、未使用,2か月前,https://jp.mercari.com/item/m75964984884
