index,name,price,condition,posted_date,url,outlier_flag
1,Barbour BEDALE ビデイルジャケット 黒　32,18000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m63292578013,False
2,Barbour OS BEDALE ピーチスキン,35000.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m96466271436,False
3,Barbour 別注 SPEY BLISSTEX TWEED ガンクラブチェック,55000.0,未使用に近い,2日前,https://jp.mercari.com/item/m27267473981,False
4,Barbour バブアー ビデイル SL34 ブラックウォッチ,25000.0,未使用に近い,4日前,https://jp.mercari.com/item/m14368475422,False
5,ダークグリーン ジャケット メンズ,16000.0,未使用に近い,4日前,https://jp.mercari.com/item/m76254405538,False
6,Barns Outfittersバーンズ ジャケットL BR-6137,4000.0,未使用に近い,3日前,https://jp.mercari.com/item/m41918121689,False
7,Babour バブアー ビデイル SL ジャケット 36,15500.0,やや傷や汚れあり,4日前,https://jp.mercari.com/item/m60570309078,False
8,【美品】Barbour 36,16000.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m14699308894,False
9,バブアー ビデイル WASHED BEDALE SL (サイズ UK40),19000.0,未使用に近い,5日前,https://jp.mercari.com/item/m98473528053,False
10,Barbour × BAPE® BEDALE SNOWBOARD JACKET,28000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m40691577677,False
11,Barbour/バブアー 別注 ビデイル オーバーサイズ スリーブ グレー ３８,35700.0,新品、未使用,3日前,https://jp.mercari.com/item/m16706912942,False
12,Lbarbour「44」オリーブ ◎bedale,15000.0,傷や汚れあり,4日前,https://jp.mercari.com/item/m94634226463,False
13,Barbour BEDALE / ビデイルSLワックスコットン,25000.0,目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m83776803433,False
14,【美品】Barbour Bedale 34,11815.0,未使用に近い,5日前,https://jp.mercari.com/item/m50576609412,False
15,【タグ付き新品】Barbour バブアー Winter Bedale ビデイル,25000.0,新品、未使用,1日前,https://jp.mercari.com/item/m92941903456,False
16,Barbour（バブァー）Bedale SL（ビデイル SL）/ブラック　40,24800.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m33720251115,False
17,【現行モデル】Barbour バブアー BEDALE BLACK 36,39000.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m19083312784,False
18,Barbour ノンワックスジャケット　コート,20320.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m85433444631,False
19,【Barbour】SPEY JACKET size:L 英国製,45000.0,目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m92715003944,False
20,Barbour BEDALE バブアー　ビデイル,15500.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m99019501158,False
21,barbour バブアー BEDALE ビデイル SL NAVY オイルド 40,19800.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m82987534946,False
22,バブアー　エディフィス別注 OLD BEDALE,35000.0,新品、未使用,6日前,https://jp.mercari.com/item/m36468566464,False
23,BEAMS PLUS 別注　Barbour Bedale 38,33000.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m32830699335,False
24,Barbour Classic Bedale,25000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m46881293395,False
25,Vintage Barbour BEACON JACKET/C36,36999.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m46692496582,False
26,バブアー　ビデイル　34,13500.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m58357673523,False
27,Barbour BEDALEバブアー ビデイル デニム風 サイズ42,20000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m88663736034,False
28,ジャケット ブルゾン Barbour × BEAMS PLUS,32780.0,目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m90036570400,False
29,Barbour BEAMS PLUS別注 BEDALE Classic Fit,29412.0,新品、未使用,5日前,https://jp.mercari.com/item/m96340059586,False
30,Barbour BEDALE SL 38 セージ,23000.0,やや傷や汚れあり,5日前,https://jp.mercari.com/item/m40614253674,False
31,Barbour × BEAMS F / 別注 TRANSPORT ウォッシュド,41900.0,未使用に近い,6日前,https://jp.mercari.com/item/m54951705990,False
32,バブアー　ビデイル　SL 34 セージ　XS イギリス製　オイルドジャケット,20000.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m69192867126,False
33,Barbour バブアー　BEDALE SL 2LAYER 38,25000.0,未使用に近い,5日前,https://jp.mercari.com/item/m17322775875,False
34,バブアー Barbour ビデイル BEDALE 40 navy,10000.0,傷や汚れあり,6日前,https://jp.mercari.com/item/m96946939833,False
35,ミント　00s 　 バブアー　フード　ネイビー　ビデイル　ビューフォート,5100.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m86146650870,False
36,新品　希少　80s 　90s 　 バブアー　フード　ネイビー,10300.0,未使用に近い,2日前,https://jp.mercari.com/item/m74172323161,False
37,Barbour BEDALE JACKET サイズ36 バブアー ビデイル,35000.0,未使用に近い,6日前,https://jp.mercari.com/item/m94204193920,False
38,〚美品〛 Barbour BEDALE SAGE 32,26000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m92105944504,False
39,バブアー BARBOUR SL ビデイル ジャケット,13000.0,やや傷や汚れあり,7日前,https://jp.mercari.com/item/m28089046669,False
40,【美品】Barbour BEDALE バブアー　ビデイル,30000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m43099440410,False
41,Barbour Bedale Jacket A100 C40/102CM,27900.0,目立った傷や汚れなし,8日前,https://jp.mercari.com/item/m78351308766,False
42,Barbour BEDALE WAX JACKET SAGE C38,28450.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m76774120961,False
43,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/E7U7Q8FtHG3NihLeaMKieG,False
44,Barbour BEDALE SL BONDED WOOLビデイル SL 40,29000.0,未使用に近い,4日前,https://jp.mercari.com/item/m49028654486,False
45,Barbour バブアー BEDALE SL JACKET,26820.0,未使用に近い,8日前,https://jp.mercari.com/item/m88476693311,False
46,新品タグ付！24SSバブアー 別注 OLD BEDALE ジャケット 38,39580.0,未使用に近い,5日前,https://jp.mercari.com/item/m45116780422,False
47,Barbour【BEDALE / ビデイル】ワックス コットン ブルゾン 38,28888.0,未使用に近い,1日前,https://jp.mercari.com/item/m89932713796,False
48,Barbour 別注 OLD BEDALE LIMONTA 40,34500.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m87411147870,False
49,Barbour BEDALE ジャケット オリーブ　36,15000.0,傷や汚れあり,6日前,https://jp.mercari.com/item/m74797537627,False
50,新品 Barbour bedale ビデイル ブラック 38 uk 英国製,36900.0,新品、未使用,8日前,https://jp.mercari.com/item/m79759452303,False
51,バブアー　ビデイル　38,26000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m73074158679,False
52,美品 バブアー ビデイル ロイヤルワラント,25000.0,目立った傷や汚れなし,6日前,https://jp.mercari.com/item/m30958048953,False
53,80s Barbour　バブアー　フード　XL 1988 ネイビー,10000.0,未使用に近い,4日前,https://jp.mercari.com/item/m46224339483,False
54,BARBOUR SL BEDALE ビデイル ジャケット black 38 BK,24000.0,目立った傷や汚れなし,8日前,https://jp.mercari.com/item/m63915204528,False
55,【値下げ交渉あり】Barbour BEDALE / ビデイル,30600.0,未使用に近い,6日前,https://jp.mercari.com/item/m35223571478,False
56,Barbour BEDALE SL 38,27000.0,未使用に近い,8日前,https://jp.mercari.com/item/m34602913374,False
57,Barbour × BEAMS PLUS 別注 BEDALE,33000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m57542240642,False
58,Barbour CLASSIC BEDALE ジャケット,20000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m35307713244,False
59,正規品Barbour BEDALE SL 40 バブアービデイルオリーブセージ,32000.0,目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m79530285009,False
60,Barbour×BEAMS PLUS 別注BEDALE 黒　ブラック,36000.0,目立った傷や汚れなし,7日前,https://jp.mercari.com/item/m34405473236,False
61,Barbour SL BEDALE WOOL SIZE 38,26000.0,やや傷や汚れあり,6日前,https://jp.mercari.com/item/m46083282768,False
62,北のキツネ様 Barbour 秋冬 別注 超高級約5万 ジャケット ブルゾン,25020.0,未使用に近い,9日前,https://jp.mercari.com/item/m31665554879,False
63,Barbour×BEAMS BEDALE バブアー　ビームス別注　ビデイル,15999.0,傷や汚れあり,8日前,https://jp.mercari.com/item/m78360170324,False
