index,name,price,condition,posted_date,url,outlier_flag
1,Sram Red eTAP 11sp　WIFLII,135000.0,傷や汚れあり,22時間前,https://jp.mercari.com/item/m55723839636,False
2,SRAM（スラム）RED eTap AXS POWER METERクランクセット,60000.0,目立った傷や汚れなし,9日前,https://jp.mercari.com/item/m99628449811,False
3,SRAM RED eTap R9100 11-30 br-9000セット,150000.0,目立った傷や汚れなし,14日前,https://jp.mercari.com/item/m33265899232,False
4,SRAM RED eTap AXS RD 12s MAX 33T,88000.0,やや傷や汚れあり,15日前,https://jp.mercari.com/item/m58813963604,False
5,SRAM rival etap axs グループセット,78000.0,やや傷や汚れあり,18日前,https://jp.mercari.com/item/m52277470655,False
6,Sram スラム Red GXP Etap 52 36t 170mm P49GA,24000.0,傷や汚れあり,16日前,https://jp.mercari.com/item/m25380664073,False
7,SRAM RED eTap AXS POWER METER クランク セット,78000.0,傷や汚れあり,18日前,https://jp.mercari.com/item/m46131874097,False
8,SRAM RED etap AXS 12S シフトレバー＆ブレーキ左右セット,77000.0,やや傷や汚れあり,2日前,https://jp.mercari.com/item/m16701970655,False
9,【最終価格】スラム RED E-TAP 変速3点セット,84000.0,目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m37824276646,False
10,SRAM スラム RED etap AXS 12速セット未使用　最終価格,280250.0,新品、未使用,27日前,https://jp.mercari.com/item/m51943572534,True
11,SRAM Red etap 2x11s 　 パーツセット S49PA,134000.0,傷や汚れあり,26日前,https://jp.mercari.com/item/m39717287464,False
12,SRAM FORCE XPLR リアディレイラー スプロケットセット,60000.0,目立った傷や汚れなし,29日前,https://jp.mercari.com/item/m15615018225,False
13,【akfog様専用】SRAM RED eTap AXS セット,115000.0,やや傷や汚れあり,27日前,https://jp.mercari.com/item/m51046693624,False
14,【user様専用】SRAM RED 12速 コンポ パワーメータークランクセット,170000.0,やや傷や汚れあり,29日前,https://jp.mercari.com/item/m77410822103,False
15,Sram Red AXS Flattop Chain 12s etap,6900.0,やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m73049162539,False
16,SRAM RED ETAP スラム レッド 電動 11S 11速 ビッグプーリー,133333.0,やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m78893885681,False
17,sram etap clics blips blip box 3点セット　新品,68800.0,新品、未使用,1か月前,https://jp.mercari.com/item/m64301545541,False
18,SRAM FORCE etap AXS 2xリムブレーキグループセット+ブレーキ,128000.0,傷や汚れあり,1か月前,https://jp.mercari.com/item/m53406855550,False
19,SRAM Red etap AXS　スラム　レッド　DUBカーボンクランク,79100.0,やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m42434455484,False
20,SRAM Red Etap 2x11s 　 パーツセット S480A,127000.0,傷や汚れあり,1か月前,https://jp.mercari.com/item/m30589190836,False
21,カーボンブレーキシュー　まとめセット,5000.0,傷や汚れあり,2か月前,https://jp.mercari.com/item/m23562334958,False
22,SRAM RED ETAP 2x11s リムブレーキ シフター,35000.0,やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m31743822348,False
23,9/1まで限定値下げ　SRAM RED 11速カーボンクランク おまけ付き,24000.0,傷や汚れあり,2か月前,https://jp.mercari.com/item/m26137871718,False
24,SRAM スラム RED e-TAP 2x11s 電動ワイヤレス リム,123000.0,やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m77985900164,False
25,sram red etap 11s rd,39999.0,やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m80431631306,False
26,専用,190000.0,目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m17655316485,False
27,SRAM Red Etap 2x11s パーツセット S47TB,115000.0,傷や汚れあり,2か月前,https://jp.mercari.com/item/m77687561424,False
28,SRAM RED Etap 11s コンポセット,99000.0,やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m78435812055,False
29,SRAM REDEtap AXS HRD スラムレッドパワーメータコンポセット,280000.0,未使用に近い,2か月前,https://jp.mercari.com/item/m23986844047,False
30,SRAM RED ETAP AXS リムブレーキレバー　左右セット,90000.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m25596922676,False
31,SRAM eTap AXS Wireless Blips,15120.0,新品、未使用,3か月前,https://jp.mercari.com/item/m37420997344,False
32,SRAM RED ETAP セット,112000.0,目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m52475766004,False
33,sram　red　Etapリアディレイラーセラミックスピードビッグプリー付き,65000.0,やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m53725986697,False
34,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m21774776887,False
35,SRAM red etap WiFLi（ミドルケージ）元箱セット ドングル他付き,3000.0,傷や汚れあり,2か月前,https://jp.mercari.com/item/m20609143014,False
36,SRAM Red Etap11sグループセット　シフトサテライトスイッチ付き,136000.0,やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m47155656791,False
37,SRAM RED etap axs 12s シフトレバー　油圧　D1 キャリパー,90000.0,未使用に近い,3か月前,https://jp.mercari.com/item/m69454076783,False
