index,name,price,condition,posted_date,url
1,Barbour BEDALE ビデイルジャケット 黒　32,"18,000",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m63292578013
2,Barbour OS BEDALE ピーチスキン,"35,000",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m96466271436
3,Barbour 別注 SPEY BLISSTEX TWEED ガンクラブチェック,"55,000",未使用に近い,3日前,https://jp.mercari.com/item/m27267473981
4,Barbour バブアー ビデイル SL34 ブラックウォッチ,"25,000",未使用に近い,18時間前,https://jp.mercari.com/item/m14368475422
5,ダークグリーン ジャケット メンズ,"16,000",未使用に近い,50分前,https://jp.mercari.com/item/m76254405538
6,Barns Outfittersバーンズ ジャケットL BR-6137,"4,000",未使用に近い,20時間前,https://jp.mercari.com/item/m41918121689
7,Babour バブアー ビデイル SL ジャケット 36,"15,500",やや傷や汚れあり,18時間前,https://jp.mercari.com/item/m60570309078
8,【美品】Barbour 36,"16,000",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m14699308894
9,バブアー ビデイル WASHED BEDALE SL (サイズ UK40),"19,000",未使用に近い,1日前,https://jp.mercari.com/item/m98473528053
10,Barbour × BAPE® BEDALE SNOWBOARD JACKET,"28,000",目立った傷や汚れなし,17時間前,https://jp.mercari.com/item/m40691577677
11,Barbour/バブアー 別注 ビデイル オーバーサイズ スリーブ グレー ３８,"35,700",新品、未使用,20時間前,https://jp.mercari.com/item/m16706912942
12,Lbarbour「44」オリーブ ◎bedale,"15,000",傷や汚れあり,21時間前,https://jp.mercari.com/item/m94634226463
13,Barbour BEDALE / ビデイルSLワックスコットン,"25,000",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m83776803433
14,【美品】Barbour Bedale 34,"11,815",未使用に近い,1日前,https://jp.mercari.com/item/m50576609412
15,【タグ付き新品】Barbour バブアー Winter Bedale ビデイル,"25,000",新品、未使用,3日前,https://jp.mercari.com/item/m92941903456
16,Barbour（バブァー）Bedale SL（ビデイル SL）/ブラック　40,"24,800",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m33720251115
17,【現行モデル】Barbour バブアー BEDALE BLACK 36,"39,000",目立った傷や汚れなし,23時間前,https://jp.mercari.com/item/m19083312784
18,Barbour ノンワックスジャケット　コート,"20,320",目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m85433444631
19,【Barbour】SPEY JACKET size:L 英国製,"45,000",目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m92715003944
20,Barbour BEDALE バブアー　ビデイル,"15,500",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m99019501158
21,barbour バブアー BEDALE ビデイル SL NAVY オイルド 40,"19,800",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m82987534946
22,バブアー　エディフィス別注 OLD BEDALE,"35,000",新品、未使用,2日前,https://jp.mercari.com/item/m36468566464
23,BEAMS PLUS 別注　Barbour Bedale 38,"33,000",目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m32830699335
24,Barbour Classic Bedale,"25,000",目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m46881293395
25,Vintage Barbour BEACON JACKET/C36,"36,999",目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m46692496582
26,バブアー　ビデイル　34,"13,500",目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m58357673523
27,Barbour BEDALEバブアー ビデイル デニム風 サイズ42,"20,000",目立った傷や汚れなし,4時間前,https://jp.mercari.com/item/m88663736034
28,ジャケット ブルゾン Barbour × BEAMS PLUS,"32,780",目立った傷や汚れなし,2日前,https://jp.mercari.com/item/m90036570400
29,Barbour BEAMS PLUS別注 BEDALE Classic Fit,"29,412",新品、未使用,1日前,https://jp.mercari.com/item/m96340059586
