index,name,price,condition,posted_date,url
1,Sram Red eTAP 11sp　WIFLII,"135,000",傷や汚れあり,22時間前,https://jp.mercari.com/item/m55723839636
2,SRAM（スラム）RED eTap AXS POWER METERクランクセット,"60,000",目立った傷や汚れなし,9日前,https://jp.mercari.com/item/m99628449811
3,SRAM RED eTap R9100 11-30 br-9000セット,"150,000",目立った傷や汚れなし,14日前,https://jp.mercari.com/item/m33265899232
4,SRAM RED eTap AXS RD 12s MAX 33T,"88,000",やや傷や汚れあり,15日前,https://jp.mercari.com/item/m58813963604
5,SRAM rival etap axs グループセット,"78,000",やや傷や汚れあり,18日前,https://jp.mercari.com/item/m52277470655
6,Sram スラム Red GXP Etap 52 36t 170mm P49GA,"24,000",傷や汚れあり,16日前,https://jp.mercari.com/item/m25380664073
7,SRAM RED eTap AXS POWER METER クランク セット,"78,000",傷や汚れあり,18日前,https://jp.mercari.com/item/m46131874097
8,SRAM RED etap AXS 12S シフトレバー＆ブレーキ左右セット,"77,000",やや傷や汚れあり,2日前,https://jp.mercari.com/item/m16701970655
9,【最終価格】スラム RED E-TAP 変速3点セット,"84,000",目立った傷や汚れなし,4日前,https://jp.mercari.com/item/m37824276646
10,SRAM スラム RED etap AXS 12速セット未使用　最終価格,"280,250",新品、未使用,27日前,https://jp.mercari.com/item/m51943572534
11,SRAM Red etap 2x11s 　 パーツセット S49PA,"134,000",傷や汚れあり,26日前,https://jp.mercari.com/item/m39717287464
12,SRAM FORCE XPLR リアディレイラー スプロケットセット,"60,000",目立った傷や汚れなし,29日前,https://jp.mercari.com/item/m15615018225
13,【akfog様専用】SRAM RED eTap AXS セット,"115,000",やや傷や汚れあり,27日前,https://jp.mercari.com/item/m51046693624
14,【user様専用】SRAM RED 12速 コンポ パワーメータークランクセット,"170,000",やや傷や汚れあり,29日前,https://jp.mercari.com/item/m77410822103
15,Sram Red AXS Flattop Chain 12s etap,"6,900",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m73049162539
16,SRAM RED ETAP スラム レッド 電動 11S 11速 ビッグプーリー,"133,333",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m78893885681
17,sram etap clics blips blip box 3点セット　新品,"68,800",新品、未使用,1か月前,https://jp.mercari.com/item/m64301545541
18,SRAM FORCE etap AXS 2xリムブレーキグループセット+ブレーキ,"128,000",傷や汚れあり,1か月前,https://jp.mercari.com/item/m53406855550
19,SRAM Red etap AXS　スラム　レッド　DUBカーボンクランク,"79,100",やや傷や汚れあり,1か月前,https://jp.mercari.com/item/m42434455484
20,SRAM Red Etap 2x11s 　 パーツセット S480A,"127,000",傷や汚れあり,1か月前,https://jp.mercari.com/item/m30589190836
21,カーボンブレーキシュー　まとめセット,"5,000",傷や汚れあり,2か月前,https://jp.mercari.com/item/m23562334958
22,SRAM RED ETAP 2x11s リムブレーキ シフター,"35,000",やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m31743822348
23,9/1まで限定値下げ　SRAM RED 11速カーボンクランク おまけ付き,"24,000",傷や汚れあり,2か月前,https://jp.mercari.com/item/m26137871718
24,SRAM スラム RED e-TAP 2x11s 電動ワイヤレス リム,"123,000",やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m77985900164
25,sram red etap 11s rd,"39,999",やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m80431631306
26,専用,"190,000",目立った傷や汚れなし,2か月前,https://jp.mercari.com/item/m17655316485
27,SRAM Red Etap 2x11s パーツセット S47TB,"115,000",傷や汚れあり,2か月前,https://jp.mercari.com/item/m77687561424
28,SRAM RED Etap 11s コンポセット,"99,000",やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m78435812055
29,SRAM REDEtap AXS HRD スラムレッドパワーメータコンポセット,"280,000",未使用に近い,2か月前,https://jp.mercari.com/item/m23986844047
30,SRAM RED ETAP AXS リムブレーキレバー　左右セット,"90,000",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m25596922676
31,SRAM eTap AXS Wireless Blips,"15,120",新品、未使用,3か月前,https://jp.mercari.com/item/m37420997344
32,SRAM RED ETAP セット,"112,000",目立った傷や汚れなし,3か月前,https://jp.mercari.com/item/m52475766004
33,sram　red　Etapリアディレイラーセラミックスピードビッグプリー付き,"65,000",やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m53725986697
34,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/item/m21774776887
35,SRAM red etap WiFLi（ミドルケージ）元箱セット ドングル他付き,"3,000",傷や汚れあり,2か月前,https://jp.mercari.com/item/m20609143014
36,SRAM Red Etap11sグループセット　シフトサテライトスイッチ付き,"136,000",やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m47155656791
37,SRAM RED etap axs 12s シフトレバー　油圧　D1 キャリパー,"90,000",未使用に近い,3か月前,https://jp.mercari.com/item/m69454076783
38,SRAM RED ETAP AXS D1 HRD 2x12s グループセット,"160,000",傷や汚れあり,3か月前,https://jp.mercari.com/item/m71318643199
39,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/item/m58067787689
40,SRAM RED Etap 11s リムブレーキセット　新品カセット付き,"126,000",やや傷や汚れあり,3か月前,https://jp.mercari.com/item/m69538090844
41,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/P265MavpCobqdQqAoDZeAN
42,【k.shoutaさん専売】SRAM RED ETAP 11S(コンポセット),"129,000",やや傷や汚れあり,4か月前,https://jp.mercari.com/item/m88759842481
43,新品　SRAM (スラム) eTap バッテリーチャージャー コード　充電器,"4,999",新品、未使用,3か月前,https://jp.mercari.com/item/m81065326208
44,SRAM RED eTAP 11S 電動シフト コンポ BLIPSセット,"140,000",やや傷や汚れあり,4か月前,https://jp.mercari.com/item/m28701360277
45,SRAM RED etap 11s fd 動作確認済み　ジャンク,"12,000",全体的に状態が悪い,4か月前,https://jp.mercari.com/item/m45915774786
46,SRAM(スラム) RED etap 11速　コンポセット,"138,000",やや傷や汚れあり,4か月前,https://jp.mercari.com/item/m47795096403
47,SRAMスラム　RED e-tap 11s リム,"100,000",やや傷や汚れあり,5か月前,https://jp.mercari.com/item/m50596437314
48,SRAM RED ETAP ブラケットフード,"3,000",新品、未使用,5か月前,https://jp.mercari.com/item/m53415929072
49,sram red etap11s,"135,000",やや傷や汚れあり,5か月前,https://jp.mercari.com/item/m50888616392
50,SRAM Red クランク 170mm 52-36t BB30,"18,500",やや傷や汚れあり,5か月前,https://jp.mercari.com/item/m53605473087
51,RED E-TAP 11s スラムレッドイータップ11速用電動コンポーネント,"135,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m78041832287
52,SRAM ブレーキパッド red force rival axs ラスト2セット,"1,430",新品、未使用,半年以上前,https://jp.mercari.com/item/m67662016282
53,-今日限定セール！- sram red etap 2x11s スラム,"100,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m46566737348
54,SRAM red etap 元箱セット+ドングルなし,"5,555",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m70572847675
55,SRAM スラム RED etap 2x12s リムブレーキ 3点セット,"160,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m86139337314
56,SRAM RED eTap スラム　リアディレイラー　ベアリングプーリー　２個,"2,450",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m30946572223
57,スラムレッド 充電器 GR230801A　シフター抜き,"87,000",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m77388879442
58,【最終値下げ】SRAM RED eTap AXS ブレーキレバー,"54,580",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m73086046410
59,SRAM RED eTap AXS キャリパー,"25,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m41390982872
60,SRAM red etapファームウェアアップデート用USBドングル,"2,980",未使用に近い,4か月前,https://jp.mercari.com/item/m12964232952
61,週末限定価格　SRAM Red etap 11速リムモデル コンポセット,"100,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m23024122089
62,SRAM Red eTap セット 11s,"100,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m33232396894
63,Sram Red AXS Flattop Chain 12s おまけ付き,"6,000",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m76611593843
64,SRAM　RED 12s スパイダー一体型チェーンリング48/35,"20,000",未使用に近い,半年以上前,https://jp.mercari.com/item/m79595902328
65,Sram Red AXS Etap 2x12s フロントディレーラー,"45,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m40771043753
66,SRAM FORCE AXS パワーメーター　172.5mm 48/35,"65,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m40710738801
67,"SRAM eTap RED 2X11S RD, FD, BlipBoxセット","60,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m10210205486
68,sram red etap 11s,"111,111",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m92742595238
69,スラム SRAM Red 11s FD etap フロントディレイラー,"28,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m78596099719
70,美品SRAM AXS RIVAL XG-1250 12速カセットスプロケット,"8,500",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m91963083634
71,sram red etap 2x11s　パーツセット　GRA231020B,"120,000",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m46957693717
72,SRAM Rival eTap AXS グループセット スラム完成車取外未使用,"135,000",新品、未使用,半年以上前,https://jp.mercari.com/item/m79883624186
73,BR-R9100 前後セット,"20,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m44105419019
74,シマノGRX FC-RX600　172.5 40t クランク,"10,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m79178820473
75,SRAM Red etap 11s,"128,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m26165496348
76,SRAM Red etap 11s コンポーネントセット,"110,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m69698206939
77,SRAM(スラム) FORCE(フォース) eTap AXS ※FDのみRED,"110,000",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m54518910662
78,スラム　レッドetap付属　ブレーキケーブルセット,"1,800",新品、未使用,半年以上前,https://jp.mercari.com/item/m40922077170
79,【パワーメーター付】SRAM RED AXS 2X ROAD 12S フルセット,"320,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m15348128147
80,sram RED etap Wifli セット,"150,000",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m14152869491
81,新品未使用SRAM Red軽量ローター　160mm 6ボルト,"8,000",新品、未使用,半年以上前,https://jp.mercari.com/item/m28536381918
82,sram red etap 左右レバー sti リムブレーキ 2×11s 22,"48,000",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m76771326180
83,ジャンク品RD sram red etap 11s,"12,000",全体的に状態が悪い,半年以上前,https://jp.mercari.com/item/m61351198886
84,中古 Sram Red AXS Flattop Chain 12s チェーン,"5,999",目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m57627912263
85,SRAM ブレーキパッド red force rival axs 12sなど,"1,480",新品、未使用,半年以上前,https://jp.mercari.com/item/m76049449410
86,SRAM Rival eTap AXS HRD Shift/Brakeset,"47,250",新品、未使用,半年以上前,https://jp.mercari.com/item/m15726387829
87,SRAM RED eTap axs リムブレーキ用シフトレバー左右セット,"130,000",新品、未使用,半年以上前,https://jp.mercari.com/item/m65148153433
88,SRAM red eTap AXS RD 12s リアディレイラー (中古),"53,680",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m84192342679
89,sram red etap 11s リム用,"112,500",傷や汚れあり,半年以上前,https://jp.mercari.com/item/m26404320006
90,SRAM Red etap 11速,"125,000",やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m16286381713
